id;last_name;first_name;email;phone;vehicle;status
1;Renard;Léonard;"T@Ce.xcpcic";"3356975899";SCOOTER;synthesize Vaugirard Cotton
2;Marty;Antoinette;"96@d0JCd4.oq";"9493890804";SCOOTER;Kwacha Car Awesome
3;Morel;Taurin;"f8C@zCvIkE.aVzg";"3466209023";SCOOTER;Dollar Naira
4;Rey;Blaise;"O@ISLKxd.xK";"4843669048";SCOOTER;Champagne-Ardenne SCSI mission-critical
5;Hubert;Gislebert;"EOyy@JC.hpqGL";"5493990470";SCOOTER;hack c
6;Dumont;Abdon;"pIrd@7c7Q.KbvLpv";"5340633171";BIKE;niches payment Superviseur
7;Roux;Fabrice;"FWCj@pzQ9gW.GAD";"9422186945";BIKE;Fresh c throughput
8;Meunier;Elsa;"5qA@m3aED.hSWJDPt";"4667097926";BIKE;Savings
9;Brun;Adrienne;"Rf9@j6ZV.ibieME";"3356831766";E_SCOOTER;Cambridgeshire
10;Carre;Xénophon;"Fv0fC@A.HlXVJxJ";"9814462281";SCOOTER;Executif
